Brands,Models,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),price(in lakhs)
Maruti,A-Star Zxi,2012,Comprehensive,Petrol,5,48936,Second Owner,Manual,2011,19.0,998.0,998.0,2.34
Mitsubishi,Outlander 2.4 CVT,2019,Comprehensive,Petrol,7,23000,Second Owner,Automatic,2019,10.2,2360.0,2360.0,19.5
Maruti,Baleno 1.2 Zeta,2017,Comprehensive,Petrol,5,61814,First Owner,Manual,2017,21.4,1197.0,1197.0,5.27
BMW,X5 xDrive 30d xLine,2019,Zero Dep,Diesel,5,62000,Second Owner,Automatic,2019,13.38,2993.0,2993.0,47.98
Volkswagen,Polo GT TSI Sport Edition,2017,Third Party insurance,Petrol,5,40000,First Owner,Automatic,2017,17.21,1197.0,1197.0,10.0
Hyundai,Venue SX Turbo,2020,Comprehensive,Petrol,5,30200,First Owner,Manual,2020,18.27,998.0,998.0,9.25
Skoda,Superb LK 1.8 TSI AT,2020,Third Party insurance,Petrol,5,34123,First Owner,Automatic,2020,14.67,1798.0,1798.0,30.5
Maruti,Vitara Brezza ZDi Plus Dual Tone,2018,Comprehensive,Diesel,5,28645,First Owner,Manual,2018,24.3,1248.0,1248.0,7.71
Audi,A4 35 TDI Premium,2015,Comprehensive,Diesel,5,48933,Second Owner,Automatic,2015,17.11,1968.0,1968.0,15.75
Hyundai,Creta 1.6 VTVT AT SX Plus,2016,Comprehensive,Petrol,5,60970,First Owner,Automatic,2016,13.0,1591.0,1591.0,9.4
Hyundai,Creta 1.6 VTVT AT SX Plus,2017,Third Party insurance,Petrol,5,50000,First Owner,Automatic,2017,13.0,1591.0,1591.0,7.75
Toyota,Fortuner 2.8 4WD MT,2018,Third Party insurance,Diesel,7,56000,First Owner,Manual,2018,14.24,2755.0,2755.0,27.5
Hyundai,Grand i10 1.2 Kappa Asta,2018,Comprehensive,Petrol,5,40427,First Owner,Manual,2018,18.9,1197.0,1197.0,5.36
Maruti,Ciaz 1.4 Delta,2019,Third Party insurance,Petrol,5,54213,First Owner,Manual,2019,20.73,1373.0,1373.0,7.9
Toyota,Corolla Altis G,2011,Third Party insurance,Petrol,5,85000,Second Owner,Manual,2011,14.53,1798.0,1798.0,2.75
Toyota,Innova Crysta 2.4 G MT 8 STR,2016,Comprehensive,Diesel,8,91000,Second Owner,Manual,2016,13.68,2393.0,2393.0,12.0
Hyundai,Grand i10 Sportz,2016,Third Party insurance,Petrol,5,47000,First Owner,Manual,2016,18.9,1197.0,1197.0,3.85
Honda,City i VTEC CVT VX,2015,Comprehensive,Petrol,5,54630,First Owner,Automatic,2015,18.0,1497.0,1497.0,6.86
Audi,Q7 45 TDI Quattro Technology,2016,Comprehensive,Diesel,7,72222,Second Owner,Automatic,2015,14.75,2967.0,2967.0,34.9
Honda,City i-VTEC CVT ZX,2020,Comprehensive,Petrol,5,41116,First Owner,Automatic,2019,18.0,1497.0,1497.0,10.39
Land,Rover Range Rover Sport 2.0 Petrol SE,2019,Zero Dep,Petrol,5,4000,First Owner,Automatic,2019,12.65,1997.0,1997.0,1.1
Jaguar,XJ 2.0L Portfolio,2017,Comprehensive,Petrol,5,20000,First Owner,Automatic,2017,9.43,1999.0,1999.0,69.0
Tata,Altroz XZ Plus BSVI,2023,Comprehensive,Petrol,5,29502,First Owner,Manual,2021,19.33,1199.0,1199.0,7.56
BMW,X5 xDrive 30d M Sport,2014,Comprehensive,Diesel,5,132501,First Owner,Automatic,2014,15.97,2993.0,2993.0,12.21
Mercedes-Benz,E-Class E250 CDI Avantgarde,2017,Comprehensive,Diesel,5,35000,First Owner,Automatic,2017,13.0,2143.0,2143.0,23.9
Honda,WR-V i-DTEC VX,2017,Comprehensive,Diesel,5,56458,Second Owner,Manual,2017,25.5,1498.0,1498.0,5.71
Maruti,Ciaz 1.4 AT Alpha,2018,Comprehensive,Petrol,5,50000,First Owner,Automatic,2018,19.12,1373.0,1373.0,7.25
Maruti,Baleno 1.2 Zeta,2018,Comprehensive,Petrol,5,61657,First Owner,Manual,2018,21.4,1197.0,1197.0,5.93
Honda,City i VTEC CVT VX,2016,Third Party insurance,Petrol,5,50000,First Owner,Automatic,2016,18.0,1497.0,1497.0,6.5
Maruti,Ciaz 1.4 Zeta,2017,Third Party insurance,Petrol,5,67000,First Owner,Manual,2017,20.73,1373.0,1373.0,6.25
Hyundai,i20 Sportz 1.2,2016,Comprehensive,Petrol,5,104948,First Owner,Manual,2016,18.6,1197.0,1197.0,4.61
Jaguar,XJ 2.0L Portfolio,2017,Comprehensive,Petrol,5,20000,First Owner,Automatic,2017,9.43,1999.0,1999.0,52.0
Kia,Seltos HTK Plus,2023,Third Party insurance,Petrol,5,10000,First Owner,Manual,2023,17.0,1497.0,1497.0,15.21
Mercedes-Benz,M-Class ML 350 CDI,2014,Comprehensive,Diesel,5,154000,Second Owner,Automatic,2014,11.74,2987.0,2987.0,17.5
Toyota,Camry 2.5 Hybrid,2016,Comprehensive,Petrol,5,46000,First Owner,Automatic,2016,19.16,2494.0,2494.0,20.5
Audi,A3 35 TDI Premium Plus,2020,Comprehensive,Diesel,5,39000,Second Owner,Automatic,2020,20.38,1968.0,1968.0,22.5
Hyundai,Creta 1.6 VTVT AT SX Plus,2017,Comprehensive,Petrol,5,64727,First Owner,Automatic,2017,13.0,1591.0,1591.0,9.87
Hyundai,i20 Active 1.4 S,2018,Third Party insurance,Diesel,5,65000,First Owner,Manual,2018,21.19,1396.0,1396.0,6.5
Honda,Brio S MT,2013,Third Party insurance,Petrol,5,44636,Second Owner,Manual,2013,19.4,1198.0,1198.0,2.63
Toyota,Fortuner 4x2 AT,2015,Comprehensive,Diesel,7,100000,Second Owner,Automatic,2015,12.55,2982.0,2982.0,15.5
Mercedes-Benz,C-Class Progressive C 220d,2021,Zero Dep,Diesel,5,23616,First Owner,Automatic,2021,12.6,1950.0,1950.0,43.9
Hyundai,Xcent 1.2 Kappa S,2014,Comprehensive,Petrol,5,107682,First Owner,Manual,2014,19.1,1197.0,1197.0,3.39
Land,Rover Discovery Sport Petrol HSE 7S,2019,Comprehensive,Petrol,7,47500,First Owner,Automatic,2019,12.81,1997.0,1997.0,43.0
Volkswagen,Polo Petrol Highline 1.2L,2011,Comprehensive,Petrol,5,101914,Second Owner,Manual,2011,16.47,1198.0,1198.0,2.59
Maruti,Baleno Alpha,2019,Comprehensive,Petrol,5,45507,First Owner,Manual,2019,21.01,1197.0,1197.0,6.49
Audi,A8 L 3.0 TDI quattro,2015,Comprehensive,Diesel,4,58000,First Owner,Automatic,2015,16.77,2967.0,2967.0,29.75
Ford,Ecosport 1.5 Ti VCT AT Titanium,2015,Comprehensive,Petrol,5,74095,Second Owner,Automatic,2015,16.5,1499.0,1499.0,5.37
Audi,Q5 Technology BSVI,2022,Third Party insurance,Petrol,5,22900,First Owner,Automatic,2021,13.47,1984.0,1984.0,54.8
Hyundai,Grand i10 Sportz,2014,Comprehensive,Petrol,5,74846,Second Owner,Manual,2014,18.9,1197.0,1197.0,3.1
Toyota,Glanza S,2022,Comprehensive,Petrol,5,4500,First Owner,Manual,2022,22.35,1197.0,1197.0,7.55
Hyundai,i20 Magna,2012,Comprehensive,Petrol,5,97722,Third Owner,Manual,2012,18.5,1197.0,1197.0,2.27
Jeep,Wrangler Rubicon,2023,Third Party insurance,Petrol,5,9000,First Owner,Automatic,2023,12.1,1998.0,1998.0,70.0
Mercedes-Benz,AMG GLE 53 Coupe,2020,Third Party insurance,Petrol,5,19000,First Owner,Automatic,2020,8.9,2999.0,2999.0,78.99
Honda,City i VTEC CVT VX,2015,Comprehensive,Petrol,5,79683,First Owner,Automatic,2015,18.0,1497.0,1497.0,6.35
Maruti,Swift Dzire VXI AT,2022,Comprehensive,Petrol,5,26000,First Owner,Automatic,2022,22.61,1197.0,1197.0,7.95
BMW,X1 sDrive 20d xLine,2016,Third Party insurance,Diesel,5,70000,Second Owner,Automatic,2016,20.68,1995.0,1995.0,15.5
Kia,Seltos GTX Plus DCT,2019,Comprehensive,Petrol,5,85540,First Owner,Automatic,2019,16.5,1353.0,1353.0,13.86
Maruti,Baleno Alpha,2019,Comprehensive,Petrol,5,50170,First Owner,Manual,2019,21.01,1197.0,1197.0,6.87
BMW,X7 xDrive30d DPE Signature,2020,Comprehensive,Diesel,7,44000,First Owner,Automatic,2020,13.38,2993.0,2993.0,98.5
Mercedes-Benz,C-Class Progressive C 220d,2022,Comprehensive,Diesel,5,4000,First Owner,Automatic,2022,12.6,1950.0,1950.0,56.75
BMW,X3 xDrive 20d Luxury Line,2018,Comprehensive,Diesel,5,49000,First Owner,Automatic,2018,16.55,1995.0,1995.0,39.0
Maruti,A-Star AT VXI,2011,Comprehensive,Petrol,5,89057,Second Owner,Automatic,2011,16.98,998.0,998.0,2.26
Mercedes-Benz,C-Class Progressive C 200,2021,Comprehensive,Petrol,5,12000,First Owner,Automatic,2021,11.9,1950.0,1950.0,44.5
Maruti,Vitara Brezza VXI AT,2022,Comprehensive,Petrol,5,11000,First Owner,Automatic,2022,18.76,1462.0,1462.0,9.99
Honda,City i VTEC VX Option BL,2016,Comprehensive,Petrol,5,72692,First Owner,Manual,2016,17.8,1497.0,1497.0,6.85
Ford,Ecosport 1.5 Ti VCT AT Titanium BSIV,2016,Comprehensive,Petrol,5,47463,Second Owner,Automatic,2016,15.63,1499.0,1499.0,6.33
Mercedes-Benz,GLC 200,2022,Zero Dep,Petrol,5,7651,First Owner,Automatic,2022,12.74,1991.0,1991.0,61.0
Honda,City i VTEC VX,2014,Comprehensive,Petrol,5,69348,First Owner,Manual,2014,17.8,1497.0,1497.0,6.19
Jaguar,XJ 3.0L Portfolio,2016,Comprehensive,Diesel,5,40000,First Owner,Automatic,2016,14.47,2993.0,2993.0,32.5
Land,Rover Range Rover Velar P250 R-Dynamic SE,2020,Comprehensive,Petrol,5,18000,First Owner,Automatic,2020,15.8,1997.0,1997.0,80.0
Hyundai,Santro Xing GLS CNG,2013,Third Party insurance,CNG,5,40000,Second Owner,Manual,2013,11.88,1086.0,1086.0,2.1
Mercedes-Benz,GLS 350d 4MATIC,2016,Comprehensive,Diesel,7,84000,First Owner,Automatic,2016,11.0,2987.0,2987.0,46.21
Maruti,Brezza Zxi Plus BSVI,2022,Third Party insurance,Petrol,5,22711,First Owner,Manual,2022,19.89,1462.0,1462.0,11.35
Hyundai,Grand i10 Sportz,2014,Comprehensive,Petrol,5,90576,First Owner,Manual,2014,18.9,1197.0,1197.0,3.37
Mercedes-Benz,E-Class E 350d,2018,Comprehensive,Diesel,5,44000,First Owner,Automatic,2018,17.0,2987.0,2987.0,44.0
Hyundai,Venue SX Turbo,2020,Comprehensive,Petrol,5,40678,First Owner,Manual,2019,18.27,998.0,998.0,9.24
Maruti,Ertiga ZXI Plus,2020,Comprehensive,Petrol,7,27500,First Owner,Manual,2020,19.01,1462.0,1462.0,10.5
Hyundai,i20 Sportz 1.2,2018,Comprehensive,Petrol,5,92539,First Owner,Manual,2018,18.6,1197.0,1197.0,5.28
BMW,3 Series Gran Limousine 330Li M Sport First Edition,2021,Comprehensive,Petrol,5,21000,First Owner,Automatic,2021,15.3,1998.0,1998.0,48.0
Maruti,Baleno 1.2 Zeta,2020,Comprehensive,Petrol,5,6000,First Owner,Manual,2020,21.4,1197.0,1197.0,6.95
Tata,Tiago XZ Plus,2019,Comprehensive,Petrol,5,16570,First Owner,Manual,2019,23.84,1199.0,1199.0,5.23
Maruti,Wagon R VXI,2022,Comprehensive,Petrol,5,11000,First Owner,Manual,2022,21.79,998.0,998.0,5.75
Honda,WR-V i-VTEC VX,2017,Comprehensive,Petrol,5,39791,First Owner,Manual,2017,17.5,1199.0,1199.0,6.92
Mahindra,XUV500 W8 2WD,2017,Comprehensive,Diesel,7,138000,First Owner,Manual,2017,16.0,2179.0,2179.0,6.95
Kia,Seltos GTK,2019,Comprehensive,Petrol,5,30000,First Owner,Manual,2019,16.1,1353.0,1353.0,13.25
Volkswagen,Taigun 1.5 TSI GT BSVI,2022,Comprehensive,Petrol,5,49594,First Owner,Manual,2021,18.47,1498.0,1498.0,13.37
Volkswagen,Polo Petrol Comfortline 1.2L,2012,Comprehensive,Petrol,5,60000,First Owner,Manual,2012,16.47,1198.0,1198.0,2.7
Honda,Brio S MT,2016,Comprehensive,Petrol,5,76441,First Owner,Manual,2015,19.4,1198.0,1198.0,3.26
Mercedes-Benz,M-Class ML 350 CDI,2014,Third Party insurance,Diesel,5,75000,Second Owner,Automatic,2014,11.74,2987.0,2987.0,17.75
Maruti,Wagon R VXI AMT,2017,Comprehensive,Petrol,5,53000,First Owner,Automatic,2017,21.79,998.0,998.0,3.95
Hyundai,Creta 1.6 Gamma SX Plus,2017,Comprehensive,Petrol,5,56572,First Owner,Manual,2017,15.29,1591.0,1591.0,9.31
Maruti,Baleno Alpha,2018,Comprehensive,Petrol,5,27210,First Owner,Manual,2018,21.01,1197.0,1197.0,6.0
Mercedes-Benz,GLE 400 4MATIC,2017,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,9.7,2996.0,2996.0,45.75
Hyundai,i20 Asta 1.2,2014,Comprehensive,Petrol,5,62677,First Owner,Manual,2014,18.6,1197.0,1197.0,4.92
Maruti,Baleno Delta,2023,Comprehensive,Petrol,5,18000,First Owner,Manual,2023,22.35,1197.0,1197.0,7.5
BMW,5 Series 520d Luxury Line,2019,Comprehensive,Diesel,5,35000,First Owner,Automatic,2019,20.37,1995.0,1995.0,45.0
BMW,X5 xDrive 30d xLine,2019,Comprehensive,Diesel,5,38000,Second Owner,Automatic,2019,13.38,2993.0,2993.0,46.21
Renault,Captur 1.5 Diesel RXE,2018,Comprehensive,Diesel,5,109495,First Owner,Manual,2018,20.37,1461.0,1461.0,6.53
Audi,A4 2.0 TDI Premium Plus,2015,Third Party insurance,Diesel,5,43600,Second Owner,Automatic,2015,17.11,1968.0,1968.0,11.9
Maruti,SX4 S Cross Zeta DDiS 200 SH,2018,Comprehensive,Diesel,5,45240,First Owner,Manual,2018,25.1,1248.0,1248.0,7.34
Datsun,RediGO 1.0 T Option,2018,Comprehensive,Petrol,5,3600,First Owner,Manual,2018,22.5,999.0,999.0,3.45
Mercedes-Benz,G G 350d,2023,Comprehensive,Diesel,5,36000,First Owner,Automatic,2021,8.13,2925.0,2925.0,2.05
Maruti,Baleno Zeta,2021,Comprehensive,Petrol,5,59090,First Owner,Manual,2020,21.01,1197.0,1197.0,6.42
Audi,Q3 35 TDI Quattro Premium,2012,Comprehensive,Diesel,5,126000,First Owner,Automatic,2012,15.73,1968.0,1968.0,6.5
Hyundai,Grand i10 Sportz,2015,Comprehensive,Petrol,5,70717,First Owner,Manual,2014,18.9,1197.0,1197.0,3.86
Honda,City i VTEC S,2013,Comprehensive,Petrol,5,73086,Second Owner,Manual,2013,17.4,1497.0,1497.0,3.75
Tata,Nexon XZ Plus BSVI,2020,Comprehensive,Petrol,5,51690,First Owner,Manual,2020,17.33,1199.0,1199.0,8.52
BMW,X1 sDrive20d Expedition,2018,Comprehensive,Diesel,5,49000,First Owner,Automatic,2018,20.68,1995.0,1995.0,19.45
Mercedes-Benz,E-Class Expression E 200 BSIV,2019,Comprehensive,Petrol,5,25000,First Owner,Automatic,2019,15.0,1991.0,1991.0,49.75
Hyundai,Santro Sportz BSIV,2019,Comprehensive,Petrol,5,23592,First Owner,Manual,2019,20.3,1086.0,1086.0,4.71
Honda,City i VTEC V,2014,Comprehensive,Petrol,5,69000,Second Owner,Manual,2014,17.4,1497.0,1497.0,4.9
Hyundai,Creta 1.6 SX Automatic,2016,Comprehensive,Petrol,5,70000,First Owner,Automatic,2016,14.8,1591.0,1591.0,7.95
Honda,Brio S MT,2015,Comprehensive,Petrol,5,64155,First Owner,Manual,2015,19.4,1198.0,1198.0,3.18
Mercedes-Benz,A Class A200 CDI,2018,Comprehensive,Diesel,5,38000,First Owner,Automatic,2018,20.0,2143.0,2143.0,17.49
Hyundai,Xcent 1.2 VTVT E Plus,2017,Comprehensive,Petrol,5,68018,First Owner,Manual,2017,20.14,1197.0,1197.0,4.12
Toyota,Hyryder V AWD BSVI,2022,Comprehensive,Petrol,5,14000,First Owner,Manual,2022,19.39,1462.0,1462.0,19.9
Honda,WR-V i-VTEC VX,2018,Comprehensive,Petrol,5,29846,First Owner,Manual,2018,17.5,1199.0,1199.0,7.6
Tata,Tiago XZ,2017,Comprehensive,Petrol,5,26092,First Owner,Manual,2017,23.84,1199.0,1199.0,4.5
BMW,X6 Xdrive40i M Sport,2020,Third Party insurance,Petrol,5,5200,First Owner,Automatic,2020,10.31,2998.0,2998.0,69.75
Mahindra,Marazzo M8,2019,Comprehensive,Diesel,7,36050,First Owner,Manual,2018,17.3,1497.0,1497.0,8.99
Honda,City i-VTEC CVT VX,2017,Comprehensive,Petrol,5,90932,First Owner,Automatic,2017,18.0,1497.0,1497.0,7.86
Tata,Harrier XZA Plus (O) AT BSVI,2021,Comprehensive,Diesel,5,53000,First Owner,Automatic,2021,14.6,1956.0,1956.0,20.0
Mercedes-Benz,C-Class Progressive C 220d,2021,Zero Dep,Diesel,5,11848,Second Owner,Automatic,2020,12.6,1950.0,1950.0,39.9
Honda,Mobilio V i-VTEC,2014,Comprehensive,Petrol,7,73580,First Owner,Manual,2014,17.3,1497.0,1497.0,4.66
Jeep,Compass 1.4 Limited,2019,Comprehensive,Petrol,5,22600,First Owner,Automatic,2019,16.0,1368.0,1368.0,14.9
Audi,A4 35 TDI Technology,2019,Comprehensive,Diesel,5,36000,First Owner,Automatic,2019,18.25,1968.0,1968.0,27.5
Hyundai,i20 Magna Plus,2020,Comprehensive,Petrol,5,52000,First Owner,Manual,2020,18.6,1197.0,1197.0,6.25
Tata,Safari XZA Plus AT,2021,Comprehensive,Diesel,7,26000,Second Owner,Automatic,2021,14.08,1956.0,1956.0,20.0
Maruti,Ciaz 1.4 Delta,2018,Comprehensive,Petrol,5,45239,First Owner,Manual,2018,20.73,1373.0,1373.0,6.33
Mercedes-Benz,GLA Class 200,2017,Comprehensive,Petrol,5,51000,Second Owner,Automatic,2017,13.7,1991.0,1991.0,21.0
Maruti,Vitara Brezza ZDi Plus AMT,2019,Comprehensive,Diesel,5,102973,First Owner,Automatic,2019,24.3,1248.0,1248.0,7.99
Audi,A6 35 TDI,2016,Comprehensive,Diesel,5,87000,Second Owner,Automatic,2016,18.53,1968.0,1968.0,19.0
Maruti,Swift Dzire ZXI,2014,Third Party insurance,Petrol,5,40000,Second Owner,Manual,2014,19.1,1197.0,1197.0,3.7
Hyundai,Grand i10 Sportz,2015,Comprehensive,Petrol,5,63952,Second Owner,Manual,2014,18.9,1197.0,1197.0,3.55
Mahindra,XUV500 W11 AT BSIV,2018,Comprehensive,Diesel,7,58000,Second Owner,Automatic,2018,15.1,2179.0,2179.0,12.0
Audi,Q8 Standard,2023,Comprehensive,Petrol,5,7000,First Owner,Automatic,2023,9.8,2995.0,2995.0,1.12
Tata,Nexon 1.2 Revotron XZA Plus DualTone,2019,Comprehensive,Petrol,5,46310,First Owner,Automatic,2019,17.0,1198.0,1198.0,8.74
MG,Hector Plus Sharp DCT,2020,Comprehensive,Petrol,6,42000,First Owner,Automatic,2020,11.67,1451.0,1451.0,16.0
Honda,City i VTEC VX Option,2015,Comprehensive,Petrol,5,94498,First Owner,Manual,2015,17.8,1497.0,1497.0,5.81
Volvo,XC60 B5 Ultimate,2022,Comprehensive,Petrol,5,9300,First Owner,Automatic,2022,11.2,1969.0,1969.0,66.0
BMW,X5 xDrive 30d xLine,2019,Comprehensive,Diesel,5,37000,First Owner,Automatic,2019,13.38,2993.0,2993.0,71.99
Honda,WR-V i-DTEC V,2019,Comprehensive,Diesel,5,144234,First Owner,Manual,2019,25.5,1498.0,1498.0,5.52
Maruti,Swift Dzire VXI Optional,2017,Comprehensive,Petrol,5,48000,First Owner,Manual,2017,20.85,1197.0,1197.0,5.1
Land,Rover Range Rover Velar R-Dynamic S Petrol,2021,Comprehensive,Petrol,5,19000,Second Owner,Automatic,2021,15.8,1997.0,1997.0,80.0
Hyundai,i20 Sportz 1.2,2016,Comprehensive,Petrol,5,114658,First Owner,Manual,2016,18.6,1197.0,1197.0,5.21
Audi,A4 2.0 TDI Premium Plus,2015,Comprehensive,Diesel,5,71000,First Owner,Automatic,2015,17.11,1968.0,1968.0,12.65
BMW,X3 xDrive 20d Luxury Line,2018,Comprehensive,Diesel,5,28000,First Owner,Automatic,2018,16.55,1995.0,1995.0,39.9
Honda,WR-V i-VTEC VX,2019,Comprehensive,Petrol,5,38616,First Owner,Manual,2019,17.5,1199.0,1199.0,7.41
Skoda,Octavia 1.8 TSI AT L K,2019,Comprehensive,Petrol,5,30000,First Owner,Automatic,2019,15.1,1798.0,1798.0,21.5
Hyundai,i20 Asta Option 1.2,2018,Comprehensive,Petrol,5,33093,First Owner,Manual,2018,18.6,1197.0,1197.0,6.81
BMW,X1 sDrive 20D xLine,2019,Comprehensive,Diesel,5,33000,First Owner,Automatic,2019,17.05,1995.0,1995.0,29.0
Toyota,Innova Crysta 2.8 GX AT BSIV,2019,Comprehensive,Diesel,7,57000,First Owner,Automatic,2019,11.36,2755.0,2755.0,17.5
Renault,Duster 85PS Diesel RxS,2018,Comprehensive,Diesel,5,75206,First Owner,Manual,2018,19.87,1461.0,1461.0,6.49
Jeep,Compass 1.4 Limited Option,2019,Third Party insurance,Petrol,5,40000,Second Owner,Automatic,2019,16.0,1368.0,1368.0,15.0
Mercedes-Benz,CLA 200 CDI Sport,2016,Third Party insurance,Diesel,5,42000,Second Owner,Automatic,2016,17.9,2143.0,2143.0,17.6
Hyundai,Grand i10 Sportz,2017,Comprehensive,Petrol,5,96241,First Owner,Manual,2016,18.9,1197.0,1197.0,3.77
Maruti,Ertiga ZXI CNG,2022,Comprehensive,CNG,7,34214,First Owner,Manual,2022,26.11,1462.0,1462.0,12.75
Maruti,Ciaz ZXi,2015,Comprehensive,Petrol,5,55818,First Owner,Manual,2015,20.73,1373.0,1373.0,6.61
Land,Rover Range Rover Velar R-Dynamic S Petrol,2020,Comprehensive,Petrol,5,80000,First Owner,Automatic,2020,15.8,1997.0,1997.0,68.0
Maruti,Wagon R LXI CNG,2018,Third Party insurance,CNG,5,40000,First Owner,Manual,2018,26.6,998.0,998.0,4.0
Maruti,Wagon R ZXI AMT 1.2,2020,Comprehensive,Petrol,5,48000,First Owner,Automatic,2020,20.52,1197.0,1197.0,5.75
BMW,5 Series 520d Luxury Line,2015,Third Party insurance,Diesel,5,94000,First Owner,Automatic,2015,20.37,1995.0,1995.0,16.9
Hyundai,Creta 1.6 Gamma SX Plus,2016,Comprehensive,Petrol,5,80627,First Owner,Manual,2016,15.29,1591.0,1591.0,8.16
Skoda,Rapid 1.6 MPI AT Elegance Plus Black Package,2015,Comprehensive,Petrol,5,49000,First Owner,Automatic,2015,14.3,1598.0,1598.0,5.25
Honda,WR-V i-VTEC VX,2017,Comprehensive,Petrol,5,53311,First Owner,Manual,2017,17.5,1199.0,1199.0,6.75
Hyundai,i20 Magna Plus BSIV,2018,Comprehensive,Petrol,5,70000,First Owner,Manual,2018,18.6,1197.0,1197.0,5.85
Hyundai,i20 Magna 1.2,2016,Comprehensive,Petrol,5,108836,First Owner,Manual,2016,18.6,1197.0,1197.0,4.49
BMW,X5 xDrive30d Edition X,2018,Comprehensive,Diesel,5,40000,First Owner,Automatic,2018,15.97,2993.0,2993.0,42.5
Maruti,Vitara Brezza ZDi,2017,Third Party insurance,Diesel,5,120000,First Owner,Manual,2017,24.3,1248.0,1248.0,6.0
Maruti,Ciaz AT ZXi,2016,Comprehensive,Petrol,5,44525,First Owner,Automatic,2016,19.12,1373.0,1373.0,6.93
BMW,X5 xDrive 30d Design Pure Experience 5 Seater,2015,Comprehensive,Diesel,5,80000,First Owner,Automatic,2015,15.97,2993.0,2993.0,26.5
Honda,WR-V i-VTEC VX,2018,Comprehensive,Petrol,5,64862,First Owner,Manual,2018,17.5,1199.0,1199.0,6.07
Honda,City V MT,2012,Third Party insurance,Petrol,5,100000,Second Owner,Manual,2012,16.8,1497.0,1497.0,2.95
Maruti,Baleno 1.2 Alpha,2016,Comprehensive,Petrol,5,63839,First Owner,Manual,2016,21.4,1197.0,1197.0,5.59
Hyundai,Grand i10 Asta,2014,Third Party insurance,Petrol,5,50000,First Owner,Manual,2014,18.9,1197.0,1197.0,3.75
Mahindra,XUV300 W8 Diesel BSIV,2019,Comprehensive,Diesel,5,113820,First Owner,Manual,2019,20.0,1497.0,1497.0,7.89
Maruti,Ciaz ZDi Plus SHVS,2017,Third Party insurance,Diesel,5,110000,First Owner,Manual,2017,28.09,1248.0,1248.0,5.0
Hyundai,Creta 1.6 E Plus,2018,Third Party insurance,Petrol,5,31000,First Owner,Manual,2018,15.8,1591.0,1591.0,8.65
Nissan,Sunny XV CVT,2019,Comprehensive,Petrol,5,44000,First Owner,Automatic,2019,17.5,1498.0,1498.0,6.25
Mercedes-Benz,C-Class Prime C 220d,2020,Third Party insurance,Diesel,5,34496,First Owner,Automatic,2019,12.6,1950.0,1950.0,39.0
Maruti,Baleno 1.2 Alpha,2016,Comprehensive,Petrol,5,75163,First Owner,Manual,2016,21.4,1197.0,1197.0,5.14
Maruti,Ciaz Alpha BSVI,2022,Third Party insurance,Petrol,5,6900,First Owner,Manual,2022,20.65,1462.0,1462.0,10.25
Honda,Amaze S i-Vtech,2015,Comprehensive,Petrol,5,89961,Second Owner,Manual,2015,18.0,1198.0,1198.0,3.74
BMW,3 Series Gran Limousine 320Ld Luxury Line,2022,Comprehensive,Diesel,5,4000,First Owner,Automatic,2022,19.62,1995.0,1995.0,54.0
Tata,Harrier XZA Plus AT,2021,Comprehensive,Diesel,5,54000,First Owner,Automatic,2021,14.6,1956.0,1956.0,17.5
Maruti,Swift AMT ZXI Plus,2019,Comprehensive,Petrol,5,58740,Second Owner,Automatic,2019,21.21,1197.0,1197.0,5.99
Toyota,Innova Crysta 2.8 GX AT BSIV,2019,Third Party insurance,Diesel,7,100000,First Owner,Automatic,2019,11.36,2755.0,2755.0,15.5
Land,Rover Range Rover Velar R-Dynamic S Petrol,2022,Comprehensive,Petrol,5,18700,First Owner,Automatic,2020,15.8,1997.0,1997.0,83.0
Honda,Amaze S i-VTEC,2017,Comprehensive,Petrol,5,83690,First Owner,Manual,2017,17.8,1198.0,1198.0,4.54
Mercedes-Benz,E-Class Expression E 200 BSIV,2018,Third Party insurance,Petrol,5,11000,First Owner,Automatic,2018,15.0,1991.0,1991.0,50.0
Toyota,Etios Liva G,2012,Comprehensive,Petrol,5,50900,First Owner,Manual,2012,17.71,1197.0,1197.0,2.95
Mercedes-Benz,E-Class Exclusive E 220d,2021,Comprehensive,Diesel,5,25000,First Owner,Automatic,2021,16.1,1950.0,1950.0,64.0
Hyundai,Grand i10 Asta Option,2015,Comprehensive,Petrol,5,78651,First Owner,Manual,2015,18.9,1197.0,1197.0,3.79
Maruti,Ciaz Zeta BSIV,2019,Comprehensive,Petrol,5,50000,First Owner,Manual,2019,21.56,1462.0,1462.0,7.5
Volkswagen,Virtus Highline BSVI,2023,Comprehensive,Petrol,5,9818,First Owner,Manual,2023,19.4,999.0,999.0,13.9
Maruti,SX4 S Cross Zeta DDiS 200 SH,2019,Comprehensive,Diesel,5,49230,First Owner,Manual,2019,25.1,1248.0,1248.0,8.7
Hyundai,Verna VTVT 1.6 AT EX,2018,Comprehensive,Petrol,5,65000,First Owner,Automatic,2018,17.0,1591.0,1591.0,8.85
BMW,X1 sDrive 20d xLine,2017,Comprehensive,Diesel,5,69000,First Owner,Automatic,2017,20.68,1995.0,1995.0,19.9
